elapsed_s,memory_mb,cpu_pct,thermal,battery_pct,event
0.17,71.6,42.2,0,100.0,app_appear
0.18,72.6,42.2,0,100.0,
1.20,818.7,122.7,0,100.0,
2.21,841.4,98.8,0,100.0,
3.24,763.5,99.9,0,100.0,
4.27,777.8,99.4,0,100.0,
5.10,787.7,99.1,0,100.0,scene_inactive
5.32,793.2,93.4,0,100.0,
6.39,793.8,32.8,0,100.0,
7.39,794.2,38.5,0,100.0,
8.40,802.0,122.5,0,100.0,
9.46,801.8,103.7,0,100.0,
9.70,802.7,99.7,0,100.0,scene_inactive
10.49,802.9,100.8,0,100.0,
11.16,798.1,99.7,0,100.0,scene_inactive
11.52,736.7,85.8,0,100.0,
12.53,748.5,81.8,0,100.0,
13.53,749.4,42.6,0,100.0,
14.57,744.6,5.3,0,100.0,
15.60,744.6,0.1,0,100.0,
16.62,744.6,0.2,0,100.0,
17.62,744.5,0.5,0,100.0,
18.63,744.5,0.7,0,100.0,
19.69,744.4,0.6,0,100.0,
20.75,744.4,0.6,0,100.0,
21.82,744.4,0.1,0,100.0,
22.85,744.4,0.0,0,100.0,
23.92,744.4,0.0,0,100.0,
24.93,744.4,0.0,0,100.0,
25.99,744.4,0.0,0,100.0,
27.03,744.5,0.0,0,100.0,
28.09,744.5,0.0,0,100.0,
29.14,744.5,0.0,0,100.0,
30.21,744.5,0.0,0,100.0,
31.25,744.5,0.0,0,100.0,
32.31,744.5,0.0,0,100.0,
33.36,744.5,0.0,0,100.0,
34.40,744.5,0.0,0,100.0,
35.43,744.5,0.0,0,100.0,
36.49,744.5,0.0,0,100.0,
37.51,744.5,0.0,0,100.0,
38.54,744.5,0.0,0,100.0,
39.58,744.5,0.0,0,100.0,
40.58,744.5,0.0,0,100.0,
41.61,744.5,0.0,0,100.0,
42.63,744.5,0.0,0,100.0,
43.66,744.5,0.0,0,100.0,
44.67,744.5,0.0,0,100.0,
45.68,744.5,0.0,0,100.0,
46.68,744.5,0.0,0,100.0,
47.75,744.5,0.0,0,100.0,
48.78,744.5,0.0,0,100.0,
49.95,747.3,6.0,0,100.0,
50.97,818.7,53.8,0,100.0,
52.01,827.6,64.1,0,100.0,
53.08,843.7,54.4,0,100.0,
54.13,846.0,128.2,0,100.0,
55.17,849.2,68.2,0,100.0,
56.24,860.5,101.1,0,100.0,
57.28,880.9,208.6,0,100.0,
58.34,908.5,106.6,0,100.0,
59.38,910.9,116.7,0,100.0,
60.40,912.6,60.3,0,100.0,
61.46,913.1,35.4,0,100.0,
62.48,913.8,40.2,0,100.0,
63.52,914.1,67.0,0,100.0,
64.56,914.3,146.5,0,100.0,
65.62,892.5,163.2,0,100.0,
66.68,898.5,92.5,0,100.0,
67.73,899.5,97.8,0,100.0,
68.75,900.1,138.8,0,100.0,
69.82,899.2,124.9,0,100.0,
70.83,902.4,208.1,0,100.0,
71.89,912.7,217.6,0,100.0,
72.94,918.3,261.3,0,100.0,
74.00,925.0,197.1,0,100.0,
75.00,924.5,122.5,0,100.0,
76.05,923.9,146.3,0,100.0,
77.12,924.8,145.4,0,100.0,
78.12,924.8,174.5,0,100.0,
79.17,924.9,201.9,0,100.0,
80.23,932.8,257.2,0,100.0,
81.24,934.8,259.0,0,100.0,
82.28,934.4,77.0,0,100.0,
83.30,944.5,71.0,0,100.0,
84.32,945.5,56.3,0,100.0,
85.33,943.8,78.0,0,100.0,
86.36,946.2,71.9,0,100.0,
87.39,945.0,113.4,0,100.0,
88.40,945.2,44.4,0,100.0,
89.42,945.5,98.5,0,100.0,
90.44,946.8,125.6,0,100.0,
91.46,943.8,77.1,0,100.0,
92.48,946.8,96.2,0,100.0,
93.50,944.7,123.8,0,100.0,
94.52,946.0,48.4,0,100.0,
